order_id,date,region,product,channel,quantity,unit_price,discount_pct,customer_id,revenue
ORD-000000,2022-02-07 04:00:00,South,Widget-A,Online,45.0,954.69,0.055,CUST-0178,40598.19
ORD-000001,2022-11-19 11:00:00,South,Service-Lite,Retail,37.0,990.54,0.058,CUST-0686,34524.28
ORD-000002,2022-09-30 17:00:00,East,Widget-B,Direct,11.0,834.82,0.122,CUST-0084,8062.69
ORD-000003,2022-07-02 20:00:00,West,Service-Lite,Online,49.0,449.44,0.307,CUST-0755,15261.63
ORD-000004,2022-06-30 10:00:00,South,Service-Pro,Online,49.0,551.93,0.165,CUST-0027,22582.22
ORD-000005,2022-12-24 17:00:00,West,Widget-B,Retail,3.0,508.26,0.344,CUST-0311,1000.26
ORD-000006,2022-02-05 19:00:00,West,Gadget-Y,Partner,2.0,164.1,0.38,CUST-0257,203.48
ORD-000007,2022-10-18 13:00:00,North,Widget-A,Direct,13.0,855.86,0.03,CUST-0162,10792.39
ORD-000008,2022-03-25 22:00:00,Central,Service-Lite,Partner,39.0,679.02,0.284,CUST-0532,18960.95
ORD-000009,2022-02-09 05:00:00,North,Gadget-X,Retail,30.0,641.55,0.034,CUST-0220,18592.12
ORD-000010,2022-08-08 08:00:00,West,Gadget-Y,Direct,26.0,228.12,0.029,CUST-0151,5759.12
ORD-000011,2023-02-11 12:00:00,East,Widget-B,Online,21.0,161.62,0.11,CUST-0392,3020.68
ORD-000012,2022-11-03 13:00:00,West,Gadget-X,Direct,24.0,874.29,0.041,CUST-0496,20122.66
ORD-000013,2022-11-14 03:00:00,West,Gadget-Y,Retail,32.0,187.61,0.265,CUST-0632,4412.59
ORD-000014,2022-10-26 22:00:00,West,Widget-B,Retail,4.0,82.97,0.286,CUST-0086,236.96
ORD-000015,2022-11-24 12:00:00,West,Bundle-2,Direct,29.0,629.34,0.256,CUST-0188,13578.64
ORD-000016,2022-08-02 20:00:00,Central,Gadget-X,Partner,11.0,707.29,0.23,CUST-0051,5990.75
ORD-000017,2022-02-23 09:00:00,West,Widget-B,Retail,39.0,128.42,0.312,CUST-0791,3445.77
ORD-000018,2022-12-16 21:00:00,Central,Service-Pro,Retail,10.0,214.78,0.309,CUST-0559,1484.13
ORD-000019,2022-07-07 15:00:00,East,Gadget-X,Retail,4.0,790.87,0.348,CUST-0249,2062.59
ORD-000020,2022-07-28 11:00:00,South,Gadget-Y,Direct,22.0,930.28,0.277,CUST-0532,14797.03
ORD-000021,2022-06-04 11:00:00,South,Service-Lite,Online,22.0,481.71,0.142,CUST-0809,9092.76
ORD-000022,2022-03-18 01:00:00,West,Widget-A,Online,26.0,794.07,0.21,CUST-0761,16310.2
ORD-000023,2023-01-22 03:00:00,East,Service-Pro,Retail,43.0,326.2,0.196,CUST-0924,11277.39
ORD-000024,2022-11-22 15:00:00,North,Widget-A,Retail,35.0,706.19,0.043,CUST-0231,23653.83
ORD-000025,2022-09-26 06:00:00,South,Widget-A,Direct,18.0,561.64,0.325,CUST-0164,
ORD-000026,2022-06-17 16:00:00,Central,Widget-A,Online,36.0,844.77,0.365,CUST-0764,19311.44
ORD-000027,2022-12-09 19:00:00,West,Widget-B,Direct,25.0,778.13,0.394,CUST-0917,11788.67
ORD-000028,2022-08-16 06:00:00,West,Gadget-X,Direct,11.0,291.28,0.099,CUST-0176,2886.88
ORD-000029,2022-07-04 18:00:00,North,Bundle-2,Retail,2.0,157.95,0.038,CUST-0705,303.9
ORD-000030,2022-07-07 16:00:00,North,Bundle-2,Direct,1.0,809.57,0.044,CUST-0575,773.95
ORD-000031,2022-04-05 16:00:00,South,Widget-A,Direct,11.0,42.45,0.322,CUST-0887,316.59
ORD-000032,2022-02-08 09:00:00,Central,Bundle-2,Direct,41.0,682.24,0.253,CUST-0193,20894.96
ORD-000033,2022-08-20 01:00:00,East,Service-Lite,Retail,23.0,481.15,0.302,CUST-0347,7724.38
ORD-000034,2023-01-05 22:00:00,West,Service-Pro,Retail,23.0,84.54,0.362,CUST-0621,1240.54
ORD-000035,2022-01-27 14:00:00,East,Bundle-1,Direct,20.0,691.67,0.091,CUST-0863,12574.56
ORD-000036,2022-12-24 14:00:00,East,Gadget-Y,Retail,13.0,488.04,0.146,CUST-0825,5418.22
ORD-000037,2022-12-11 20:00:00,West,Gadget-X,Online,36.0,861.49,0.317,CUST-0477,21182.32
ORD-000038,2022-04-26 07:00:00,Central,Service-Pro,Partner,1.0,216.54,0.104,CUST-0370,194.02
ORD-000039,2022-09-21 04:00:00,East,Service-Lite,Retail,30.0,12.27,0.202,CUST-0190,293.74
ORD-000040,2022-03-10 20:00:00,East,Service-Lite,Direct,46.0,139.17,0.177,CUST-0402,5268.7
ORD-000041,2022-11-12 20:00:00,Central,Widget-B,Direct,44.0,276.9,0.238,CUST-0996,9283.9
ORD-000042,2022-10-19 21:00:00,South,Bundle-2,Online,19.0,655.71,0.395,CUST-0228,7537.39
ORD-000043,2022-05-28 17:00:00,Central,Gadget-X,Direct,42.0,369.01,0.041,CUST-0948,14862.98
ORD-000044,2022-01-29 07:00:00,East,Bundle-1,Direct,12.0,127.05,0.194,CUST-0280,1228.83
ORD-000045,2023-02-09 10:00:00,Central,Gadget-X,Direct,12.0,981.75,0.384,CUST-0125,7257.1
ORD-000046,2022-07-05 16:00:00,East,Widget-A,Retail,17.0,117.14,0.139,CUST-0717,1714.58
ORD-000047,2023-01-08 03:00:00,West,Bundle-2,Partner,1.0,361.56,0.296,CUST-0456,254.54
